,district,vendor,price,pricePerMeter,originalFlatId,area,market,floatFloor,roomsNumber,buildingMaterial,constructionYear,heating,condition,floorsNumber,availableDate,typeOfBuilding,elevator,snapshotDate
834,Wola,https://westahome.otodom.pl,649000,13473,4bJUm,"48,17",wtórny,1,2,nieznany,1959,nieznane,do zamieszkania,5,2021-02-17,nieznany,yes,2021-05-29
835,Mokotów,https://www.otodom.pl/shop/marymont-nieruchomosci-magdalena-kilis-grabowska-IDiqIE/,449000,14031,4bJU8,32,wtórny,5,2,nieznany,1974,miejskie,do zamieszkania,0,2021-02-17,nieznany,yes,2021-05-29
836,Mokotów,https://www.otodom.pl/shop/home-4-you-ID3tK5/,515000,14306,4bJTJ,36,wtórny,parter,1,nieznany,1950,nieznane,nieznany,0,2021-02-17,nieznany,yes,2021-05-29
837,mazowieckie,nieznany,2700000,386,49pkg,7 000,wtórny,0,więcej niż 10,nieznany,2021,nieznane,nieznany,0,2021-02-17,nieznany,yes,2021-05-29
838,Ursus,https://www.otodom.pl/sprzedaz/mieszkanie/?search%5Buser_id%5D=2567696,389000,9686,48vgC,"40,16",pierwotny,5,2,inne,2021,miejskie,do wykończenia,8,2021-02-17,apartamentowiec,yes,2021-05-29
839,Bemowo,https://www.otodom.pl/shop/nova-estates-IDvWca/,389900,10397,4b2X9,"37,50",wtórny,parter,2,nieznany,1985,miejskie,do wykończenia,10,2021-02-17,blok,yes,2021-05-29
840,Wola,https://www.otodom.pl/shop/nova-estates-IDvWca/,645000,14043,4beLv,"45,93",wtórny,1,2,nieznany,2014,miejskie,nieznany,6,2021-02-17,blok,yes,2021-05-29
841,Bemowo,https://www.otodom.pl/shop/nova-estates-IDvWca/,450000,12587,4boi4,"35,75",wtórny,parter,2,nieznany,2005,miejskie,do zamieszkania,6,2021-02-17,blok,yes,2021-05-29
842,Wola,https://www.otodom.pl/shop/nova-estates-IDvWca/,467950,13994,4bzml,"33,44",wtórny,1,1,nieznany,2014,miejskie,nieznany,9,2021-02-17,blok,yes,2021-05-29
843,Praga-Północ,https://primowarszawa.otodom.pl,450000,9783,4bJTz,46,wtórny,4,2,inne,2021,miejskie,do zamieszkania,11,2021-02-17,blok,yes,2021-05-29
844,Ursus,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,499000,9073,4abbg,55,wtórny,5,3,inne,2000,nieznane,do zamieszkania,7,2021-02-17,blok,yes,2021-05-29
