Natolin2010 - Biuro Sprzedaży Mieszkań,20.08.2014,Lanciego 14/153,mazowieckie,02-792,Warszawa,https://natolin20.otodom.pl
Felix Development,06.11.2018,Bartycka 55,mazowieckie,05-077,Warszawa,https://www.otodom.pl/shop/felix-development-IDlYkv/
EBEJOT INWESTYCJE Sp. z o.o. SKOROSZE XI Sp. k. KA,31.07.2008,ul. Ryżowa 48/269,mazowieckie,02-495,Warszawa,https://www.otodom.pl/shop/ebejot-inwestycje-sp-z-o-o-skorosze-xi-sp-k-ka-IDl4j/
Totalbud S.A.,19.01.2018,Karczunkowska 46,mazowieckie,02-871,Warszawa,https://www.otodom.pl/shop/totalbud-s-a-IDeZHR/
Digiwel Development Sp. z o.o. S.K,18.12.2018,Bartycka 175,mazowieckie,00-716,Warszawa,https://www.otodom.pl/shop/digiwel-development-sp-z-o-o-s-k-IDmJLy/
INART Sp. z o.o.,12.08.2019,Sempołowskiej 3/71,mazowieckie,02-578,Warszawa,https://inart.otodom.pl
OSIPIAK.,03.02.2020,Toruńska 78/81,mazowieckie,03-226,Warszawa,https://osipiakdeweloper.otodom.pl
BPI Real Estate Poland sp. z o.o.,22.06.2020,ul. Komitetu Obrony Robotników 48,mazowieckie,02-146,Warszawa,https://BPI.otodom.pl
Mill-Yon Gdańsk Sp. z o.o.,29.06.2016,Al. Szucha 3 lok. 3,mazowieckie,00-582,Warszawa,https://aurapark.otodom.pl
JMJ Bobrowiec,23.03.2019,Modzelewskiego 26/17,mazowieckie,02-679,Warszawa,https://www.otodom.pl/shop/jmj-bobrowiec-IDoUrm/
Victoria Dom,27.03.2020,Kąty Grodziskie 105,mazowieckie,03-289,Warszawa,https://www.otodom.pl/shop/victoria-dom-IDuODt/
4 BUILDING Sp. z o.o. Sp. k.,07.11.2018,al. J.Ch.Szucha 2/4 lok. 50,mazowieckie,00-582,Warszawa,https://www.otodom.pl/shop/4-building-sp-z-o-o-sp-k-IDlZoM/
Novisa Development,05.07.2016,ul. Puławska 403A,mazowieckie,02-801,Warszawa,https://www.otodom.pl/shop/novisa-development-ID7aqQ/
BJM Development,26.04.2017,Klimontowska 26/50,mazowieckie,04-672,Warszawa,https://www.otodom.pl/shop/bjm-development-IDaN5V/
IPECO Sp. z o.o.,03.04.2019,ul. Grażyny 13/15,mazowieckie,02-548,Warszawa,https://www.otodom.pl/shop/ipeco-sp-z-o-o-IDoZoQ/
Vitaro Sp. z o.o.,25.09.2020,Świętokrzyska 30/63,mazowieckie,00-116,Warszawa,https://www.otodom.pl/shop/vitaro-sp-z-o-o-IDv4yi/
Dan-Bud Sp. z o.o.,14.01.2011,J.P. Woronicza 15/69,mazowieckie,02-625,Warszawa,https://dan-bud.otodom.pl
Lighthouse Development Sp. z o.o S.K.A,08.09.2015,ul. Muszkieterów 15c,mazowieckie,02-273,Warszawa,https://nowezamienie.otodom.pl
Złota 44 sp. z o.o.,26.04.2017,Złota 44,mazowieckie,00-120,Warszawa,https://www.otodom.pl/shop/zlota-44-sp-z-o-o-IDaNxK/
CPM Development Sp. z o.o.,16.11.2016,Al. Krakowska 271,mazowieckie,02-133,Warszawa,https://www.otodom.pl/shop/cpm-development-sp-z-o-o-ID8Y7Y/
Nowe Mieszkania,09.12.2020,"Aleje Jerozolimskie 29, lok. 2",mazowieckie,00-508,Warszawa,https://www.otodom.pl/shop/nowe-mieszkania-IDuFOE/
Atlas Estates,27.11.2013,Al. Jerozolimskie 123 a,mazowieckie,02-017,Warszawa,https://www.otodom.pl/shop/atlas-estates-ID2GRL/
HM Inwest S.A.,08.08.2016,ul. Solec 22,mazowieckie,00-410,Warszawa,https://www.otodom.pl/shop/hm-inwest-s-a-ID7CJk/
KLONDAIK GRZEGORZ WIĘCKOWSKI SPÓŁKA KOMANDYTOWO-AKCYJNA,21.08.2020,AL. Wilanowska 7/2,mazowieckie,02-972,Warszawa,https://www.otodom.pl/shop/klondaik-grzegorz-wieckowski-spolka-komandytowo-akcyjna-IDwMBy/
Marvipol Development,24.02.2015,ul. Prosta 32,mazowieckie,00-838,Warszawa,https://marvipol.otodom.pl
Unimax Development Sp. z o.o.,29.05.2020,Okopowa 56,mazowieckie,01-042,Warszawa,https://www.otodom.pl/shop/unimax-development-sp-z-o-o-IDwbTn/
Wawa Novum Sp. z o.o. Jeden S.K.A.,11.09.2015,Zamoyskiego 35,mazowieckie,03-801,Warszawa,https://www.otodom.pl/shop/wawa-novum-sp-z-o-o-jeden-s-k-a-ID4sQh/
ZIELONA POLANA APUS Spółka Akcyjna sp.k.,21.03.2018,ul. Emilii Plater 18,mazowieckie,00-688,Warszawa,https://www.otodom.pl/shop/zielona-polana-apus-spolka-akcyjna-sp-k-IDgpZx/
Ronson Development,23.10.2020,al. Komisji Edukacji Narodowej 57,mazowieckie,02-797,Warszawa,https://www.otodom.pl/shop/ronson-development-IDvgFz/
Budimex Nieruchomości,24.05.2017,ul. Stawki 40,mazowieckie,01-040,Warszawa,https://www.otodom.pl/shop/budimex-nieruchomosci-IDb4tA/
IMMOBILIA DEVELOPMENT Sp. z o.o.,24.04.2019,Modlińska 190,mazowieckie,03-119,Warszawa,https://immobiliadevelopment.otodom.pl
PROFBUD,20.11.2020,Obozowa 57,mazowieckie,01-161,Warszawa,https://www.otodom.pl/shop/profbud-IDvq4c/
Place4you,30.11.2018,Wilcza 44 lok 1,mazowieckie,00-679,Warszawa,https://www.otodom.pl/shop/place4you-IDmruo/
Victoria Dom S.A.,28.06.2011,Kąty Grodziskie 105,mazowieckie,03-289,Warszawa,https://victoriadom.otodom.pl
Green House Dewelopment,12.02.2016,ul. Puławska 2,mazowieckie,02-556,Warszawa,https://www.otodom.pl/shop/green-house-dewelopment-ID5Kl9/
WARSAW ATTICS I Sp. z o.o.,20.02.2017,Białostocka 22 lok.24A,mazowieckie,03-741,Warszawa,https://www.otodom.pl/shop/warsaw-attics-i-sp-z-o-o-IDa2TU/
MG Developmnet sp.z.o.o sp.kom,06.04.2018,Nowogrodzka 68,mazowieckie,02-014,Warszawa,https://www.otodom.pl/shop/mg-developmnet-sp-z-o-o-sp-kom-IDgMCM/
Sodacity Sp.j,03.04.2014,Arkuszowa 18,mazowieckie,01-934,Warszawa,https://www.otodom.pl/shop/sodacity-sp-j-ID2Tqx/
Triasdom,19.08.2016,Nowourynowska 162/3,mazowieckie,02-776,Warszawa,https://www.otodom.pl/shop/triasdom-ID7KDK/
MDOM Sp. z o.o.,02.05.2019,LIndleya 16,mazowieckie,02-013,Warszawa,https://www.otodom.pl/shop/mdom-sp-z-o-o-IDpPqI/
PHN S.A.,30.04.2020,al. Jana Pawła II 12,mazowieckie,00-124,Warszawa,https://www.otodom.pl/shop/phn-s-a-IDuYcr/
BIURO SPRZEDAŻY MIESZKAŃ,24.11.2020,ul. Kolejowa 45/U5,mazowieckie,01-210,Warszawa,https://www.otodom.pl/shop/biuro-sprzedazy-mieszkan-IDvrmh/
ALNUS DEVELOPMENT SP. z o.o.,29.05.2015,Ordynacka 11 lok. 4,mazowieckie,00-364,Warszawa,https://bobrowiecka10.otodom.pl
GREENWOOD I SP. Z O. O.,23.10.2017,Henryka Dembińskiego 13,mazowieckie,01-644,Warszawa,https://www.otodom.pl/shop/greenwood-i-sp-z-o-o-IDcS24/
Miasteczko Wawer,04.12.2018,Bysławska 82,mazowieckie,04-993,Warszawa,https://www.otodom.pl/shop/miasteczko-wawer-IDmuSA/
HNS 2 Sp. z o. o. Sp.k,09.12.2020,Obrzeżna 1/115,mazowieckie,02-691,Warszawa,https://www.otodom.pl/shop/hns-2-sp-z-o-o-sp-k-IDvaNZ/
NIVETTE DEVELOPMENT Sp. z o.o,21.02.2017,Ostrobramska 34,mazowieckie,04-193,Warszawa,https://www.otodom.pl/shop/nivette-development-sp-z-o-o-IDa3DV/
ARIA Sp.c.,07.05.2018,Rydygiera 17,mazowieckie,01-793,Warszawa,https://www.otodom.pl/shop/aria-sp-c-IDhoZG/
Kampinos Development,19.06.2019,Rondo ONZ 1,mazowieckie,00-124,Warszawa,https://kampinosdevelopment.otodom.pl
Żółkiewskiego 7 Skavia Development Sp. z o.o. Sp. k.,14.07.2020,Marszałkowska 58 lok. 15,mazowieckie,00-545,Warszawa,https://www.otodom.pl/shop/zolkiewskiego-7-skavia-development-sp-z-o-o-sp-k-IDwwst/
OAZA MOKOTÓW Sp. z o.o. Sp. k.,29.01.2021,UL. PIASECZYŃSKA 41,mazowieckie,00-765,Warszawa,https://www.otodom.pl/shop/oaza-mokotow-sp-z-o-o-sp-k-IDvRv2/
Emmerson Realty S.A.,22.06.2015,ul. Stawki 40,mazowieckie,01-040,Warszawa,https://www.otodom.pl/shop/emmerson-realty-s-a-ID3Po0/
Złota 44,06.03.2019,Ul. Złota 44,mazowieckie,00-120,Warszawa,https://www.otodom.pl/shop/zlota-44-IDotgc/
Uniwersbud Pass sp. z o.o.,30.09.2019,Aleja solidarności 117 lok. 315,mazowieckie,00-140,Warszawa,https://www.otodom.pl/shop/uniwersbud-pass-sp-z-o-o-IDtADM/
SJM Investment Sp. z o.o. sp. k.,19.03.2020,Leszno 14,mazowieckie,01-192,Warszawa,https://www.otodom.pl/shop/sjm-investment-sp-z-o-o-sp-k-IDuL82/
Sebo-Bis Sp zo.o.Majdan Villa Sp.K.,16.07.2020,Stradomska 5 lok 1,mazowieckie,04-619,Warszawa,https://www.otodom.pl/shop/sebo-bis-sp-zo-o-majdan-villa-sp-k-IDwwQJ/
Albero Invest Sp. z o.o.,22.11.2016,Zielna 37,mazowieckie,00-108,Warszawa,https://www.otodom.pl/shop/albero-invest-sp-z-o-o-ID8pCS/
GEFION.HOUSE,06.07.2017,Lucerny 126,mazowieckie,04-687,Warszawa,https://gefionhouse.otodom.pl
YAREAL Polska,23.10.2018,Mokotowska 49,mazowieckie,00-542,Warszawa,https://www.otodom.pl/shop/yareal-polska-IDlzLm/
Media Entertainment Group Sp.z.o.o Sp.K,23.05.2020,Puławska 12/3,mazowieckie,02-566,Warszawa,https://www.otodom.pl/shop/media-entertainment-group-sp-z-o-o-sp-k-IDw2nD/
Budrem Apartments,23.06.2015,Sulejkowska 20,mazowieckie,04-169,Warszawa,https://dolcevilla.otodom.pl
ESDOM Sebastian Domeracki,22.01.2020,Podkowy 120R/2,mazowieckie,04-937,Warszawa,https://esdom.otodom.pl
Wawa Investment sp. z o.o.,19.05.2016,Zabielska 23,mazowieckie,03-985,Warszawa,https://www.otodom.pl/shop/wawa-investment-sp-z-o-o-ID6JF2/
DF Invest Sp. z o.o. Wilanów Sp. k.,13.03.2020,Naddnieprzańska 26B,mazowieckie,04-205,Warszawa,https://www.otodom.pl/shop/df-invest-sp-z-o-o-wilanow-sp-k-IDuLno/
Bouygues Immobilier,18.02.2021,Armii Ludowej 14,mazowieckie,00-638,Warszawa,https://www.otodom.pl/shop/bouygues-immobilier-IDx0R2/
Platforma Mieszkaniowa S.A.,26.02.2021,Jana i Jędrzeja Śniadeckich 17,mazowieckie,00-654,Warszawa,https://www.otodom.pl/shop/platforma-mieszkaniowa-s-a-IDx4tF/
Atal S.A.,27.11.2020,ul. Płosa 3 lok U1,mazowieckie,03-531,Warszawa,https://www.otodom.pl/shop/atal-s-a-IDvsmO/
Platforma Mieszkaniowa S.A.,20.07.2017,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://www.otodom.pl/shop/platforma-mieszkaniowa-s-a-IDbEC2/
Platforma Mieszkaniowa S.A.,29.03.2021,Jana i Jędrzeja Śniadeckich 17,mazowieckie,00-654,Warszawa,https://www.otodom.pl/shop/platforma-mieszkaniowa-s-a-IDxieH/
